vehicle,motor/engine,sound,motor/engine,acceleration,sound,vehicle,type,motor/engine,sound,acceleration,sound,psychoacoustic,vehicle,type,,,,,,,,,,
active,sound,design,sound,quality,rumbling,index/metrics,booming,index/metrics,order,decay,ration,target,sound,,,,,,,,,,,
vehicle,door,opening/closing,sound,value,evaluation,grid,method,hierarchical,structure,textmining,model,model,,,,,,,,,,,,
exhaust,noise,physiological,acoustic,sport,affective,sound,quality,order,target,subjective,evaluation,test,,,,,,,,,,,,
luxury,affective,psychoacoustic,multiple,regression,objective,quantificational,model,sound,quality,vehicle,,,,,,,,,,,,,,
sound,quality,vehicle,interior,noise,synthesis,annoyance,affective,evaluation,artificial,neural,network,model,jury,test,,,,,,,,,,
sound,quality,paired,comparison,psychoacoustic,,,,,,,,,,,,,,,,,,,,
acoustic,property,acoustic,variable,measurement,regression,analysis,vehicle,constant,speed,context,effect,driving,condition,prediction,power,regression,model,sound,quality,sound,quality,assessment,vehicle,acoustic
acoustic,variable,measurement,laboratory,quality,control,vehicle,comprehensive,model,controlled,condition,driver/passenger/user,experience/perception,driving,condition,evaluation,laboratory,study,real-life,context,sound,quality,evaluation,,
sound,index/metricsc,shock,absorber,rattling,noise,wigner–ville,distribution,,,,,,,,,,,,,,,,,
sound,quality,vehicle,interior,noise,deep,network,machine,learning,feature,fusion,model,,,,,,,,,,,,,
sound,quality,evaluation,automobile,motor/engine,motor/engine,acceleration,sound,psychoacoustic,affective,response,,,,,,,,,,,,,,
semantic,differential,scale,loudness,psychoacoustic,pitch,acoustic,timbre,acoustic,tempo,acoustic,,,,,,,,,,,,,,
vehicle,signal/feedback/warning,sound,quality,index/metrics,averaging,spectrum,synthesis,sound,design,,,,,,,,,,,,,,,
motor/engine,noise,weighting,psychoacoustic,model,numerical,vibration,acoustic,analysis,auralization,finite,element,method,,,,,,,,,,,,
motor/engine,sound,evaluation,moore–glasberg,loudness,psychoacoustic,sharpness,psychoacoustic,sound,improvement,internal,combustion,,,,,,,,,,,,,
vehicle,impact,noise,speed,bump,multi,feature,combination,SVM,model,acoustic,prediction,model,,,,,,,,,,,,
door,opening/closing,sound,sound,quality,psychoacoustic,auditory,pleasant,affective,model,affective,engineering,,,,,,,,,,,,,
sound,quality,subjective,evaluation,psychoacoustic,GA,SVM,model,motor/engine,radiated,noise,,,,,,,,,,,,,,
sound,quality,design,experiment,optimization,strategy,,,,,,,,,,,,,,,,,,,
sound,quality,automotive,comfort,affective,index/metrics,public,test,road,,,,,,,,,,,,,,,,
sound,quality,index/metricscs,jury,test,comfort,affective,index/metrics,,,,,,,,,,,,,,,,,
acceleration,sound,experience/perception,sound,quality,annoyance,affective,sport,affective,acceleration,experience/perception,preference,,,,,,,,,,,,,
